page_id,name,SPECIES,ALIGN,EYE,HAIR,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,Secret Identity,Public Identity,No Dual Identity,Male Characters,Female Characters,Agender Characters,Genderfluid Characters
557396,Julia Black ,Earth-616),Bad Characters,Violet Eyes,Blond Hair,Heterosexual Characters,Deceased Characters,4,43621,2005,1,0,0,0,1,0,0
472544,Jean Carson ,Earth-616),Good Characters,Black Eyes,Blond Hair,Heterosexual Characters,Living Characters,1,15462,1942,0,1,0,0,1,0,0
405876,Jill Jerold ,Earth-616),Bad Characters,Black Eyes,Black Hair,Heterosexual Characters,Living Characters,11,24412,1966,0,1,0,0,1,0,0
591202,Bag'Le ,Earth-616),Bad Characters,Green Eyes,No Hair,Heterosexual Characters,Living Characters,,33208,1990,1,0,0,1,0,0,0
432874,Johnny Bloodcede ,Earth-616),Bad Characters,Green Eyes,Purple Hair,Heterosexual Characters,Deceased Characters,2,33817,1992,1,0,0,1,0,0,0
655368,Gabrielle Greer ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,8,34669,1994,0,1,0,0,1,0,0
446939,Marcus Lyman ,Earth-616),Bad Characters,Green Eyes,Bald,Heterosexual Characters,Deceased Characters,5,43566,2011,1,0,0,1,0,0,0
21617,One Above All ,Earth-616),Neutral Characters,Blue Eyes,No Hair,Heterosexual Characters,Living Characters,21,28126,1977,1,0,0,1,0,0,0
441225,Jago ,Earth-616),Bad Characters,Red Eyes,No Hair,Heterosexual Characters,Deceased Characters,2,14763,1940,0,1,0,1,0,0,0
625738,Helkooky ,Earth-616),,Green Eyes,No Hair,Heterosexual Characters,Living Characters,1,35065,1996,0,1,0,1,0,0,0
524304,Lorna Kleinfeldt ,Earth-616),Good Characters,Brown Eyes,Grey Hair,Heterosexual Characters,Living Characters,14,33756,1992,0,1,0,0,1,0,0
29162,Emelia Witherspoon ,Earth-616),,Brown Eyes,White Hair,Heterosexual Characters,Living Characters,6,33543,1991,0,1,0,0,1,0,0
27853,Lee Portman ,Earth-616),Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,4,23559,1964,0,1,0,1,0,0,0
29170,Andrei Rostov ,Earth-616),Bad Characters,Green Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,32994,1990,1,0,0,1,0,0,0
34677,Clinton McIntyre ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,12,36617,2000,1,0,0,1,0,0,0
21603,Zamanathan Rambunazeth ,Earth-616),Neutral Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,2,34121,1993,1,0,0,1,0,0,0
639362,Drayson ,Earth-616),Neutral Characters,Green Eyes,Black Hair,Heterosexual Characters,Living Characters,2,14580,1939,0,0,1,0,1,0,0
269526,Nigel Pigman ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,8,28307,1977,0,1,0,1,0,0,0
40100,Lili Penrose ,Earth-616),Bad Characters,Silver Eyes,Blond Hair,Heterosexual Characters,Living Characters,6,43773,2004,0,0,1,0,1,0,0
502989,Ira Gross ,Earth-616),Good Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,3,29891,1981,0,1,0,1,0,0,0
17333,Centurious ,Earth-616),Neutral Characters,Brown Eyes,White Hair,Heterosexual Characters,Living Characters,20,30256,1982,1,0,0,1,0,0,0
16286,Astrid Bloom ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,5,43742,2004,0,0,1,0,1,0,0
2356,Maynard Tiboldt ,Earth-616),Good Characters,Green Eyes,Black Hair,Heterosexual Characters,Living Characters,72,22890,1962,0,1,0,1,0,0,0
50912,Tuk ,Earth-616),,Blue Eyes,Red Hair,Heterosexual Characters,Living Characters,6,15036,1941,0,1,0,1,0,0,0
518247,Cyclops ,Nazi) ,Bad Characters,Blue Eyes,Red Hair,Heterosexual Characters,Deceased Characters,1,16923,1946,1,0,0,1,0,0,0
751719,Count Macho ,Earth-616),Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,27881,1976,0,0,1,1,0,0,0
15580,Daniel Shepard ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,1,31079,1985,1,0,0,1,0,0,0
594216,Thela ,Earth-616),Bad Characters,Yellow Eyes,Red Hair,Heterosexual Characters,Living Characters,1,43779,2010,0,1,0,0,1,0,0
468065,Phantom of the Bell Tower ,Earth-616),Neutral Characters,Blue Eyes,Bald,Heterosexual Characters,Living Characters,1,15342,1942,1,0,0,1,0,0,0
198116,Ara Tanzerian ,Earth-616),Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,3,43652,2006,1,0,0,1,0,0,0
708922,Yevgeny-Malevitch Volga ,Earth-616),Bad Characters,Blue Eyes,White Hair,Heterosexual Characters,Living Characters,5,32264,1988,0,0,1,1,0,0,0
2333,Geoffrey Crawford ,Earth-616),Bad Characters,Brown Eyes,Blond Hair,Heterosexual Characters,Living Characters,4,36039,1998,1,0,0,1,0,0,0
708709,Gi-Gi Devin ,Earth-616),Good Characters,Yellow Eyes,Blond Hair,Heterosexual Characters,Living Characters,1,15401,1942,1,0,0,0,1,0,0
21724,Milos Abyss ,Earth-616),Bad Characters,White Eyes,No Hair,Heterosexual Characters,Living Characters,13,34029,1993,0,1,0,1,0,0,0
556373,Faye Livingstone ,Earth-616),Neutral Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,34973,1995,0,0,1,0,1,0,0
44825,Nguyen Ngoc Coy ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,34,29556,1980,0,1,0,1,0,0,0
177081,Belinda Bell ,Earth-616),Bad Characters,Brown Eyes,Strawberry Blond Hair,Heterosexual Characters,Living Characters,1,29526,1980,0,1,0,0,1,0,0
441174,Grungnir ,Earth-616),Bad Characters,Violet Eyes,Black Hair,Heterosexual Characters,Living Characters,1,31413,1986,1,0,0,1,0,0,0
306509,Toshiro Monsoon ,Earth-616),Neutral Characters,Green Eyes,Black Hair,Heterosexual Characters,Living Characters,3,24898,1968,0,1,0,1,0,0,0
392301,Atalis ,Earth-616),Bad Characters,Brown Eyes,Bald,Heterosexual Characters,Living Characters,3,26908,1973,0,1,0,1,0,0,0
242500,Hanna Levy ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,9,43681,2004,0,1,0,0,1,0,0
26840,Montenegro ,Earth-616),Bad Characters,Brown Eyes,Red Hair,Heterosexual Characters,Living Characters,2,29768,1981,1,0,0,1,0,0,0
316004,Holocaust ,Earth-616),Bad Characters,Yellow Eyes,No Hair,Heterosexual Characters,Living Characters,1,33970,1993,1,0,0,1,0,0,0
666199,M'Toka ,Earth-616),Neutral Characters,Black Eyes,Black Hair,Heterosexual Characters,Living Characters,,43747,2009,0,1,0,1,0,0,0
18654,Erica Wolfmann ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,2,24077,1965,1,0,0,0,1,0,0
34114,Ebora ,Earth-616),Bad Characters,Brown Eyes,No Hair,Heterosexual Characters,Living Characters,4,26604,1972,0,1,0,0,1,0,0
1524,Eson ,Earth-616),Neutral Characters,Blue Eyes,No Hair,Heterosexual Characters,Living Characters,20,28185,1977,1,0,0,1,0,0,0
257700,Sparky the Lightning Kid ,Earth-616),Good Characters,Blue Eyes,Blond Hair,Heterosexual Characters,Living Characters,2,33970,1993,0,0,1,1,0,0,0
6696,Victoria Montesi ,Earth-616),Good Characters,Hazel Eyes,,Homosexual Characters,Living Characters,33,33878,1992,1,0,0,0,1,0,0
694583,Marcus ,Kate Bishop's neighbor) ,Good Characters,Hazel Eyes,Bald,Homosexual Characters,Living Characters,,32264,1988,0,1,0,1,0,0,0
90505,Tactical Force ,Karl) ,Bad Characters,Brown Eyes,No Hair,Heterosexual Characters,Living Characters,12,43621,2005,1,0,0,1,0,0,0
683277,Smasher 10 ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,1,32264,1988,1,0,0,1,0,0,0
9664,Jerome Hamilton ,Scientist) ,Good Characters,Brown Eyes,Blond Hair,Heterosexual Characters,Deceased Characters,10,24685,1967,0,0,1,1,0,0,0
514262,Phil ,USAF) ,,Blue Eyes,Blond Hair,Heterosexual Characters,Living Characters,1,23833,1965,0,1,0,1,0,0,0
499667,Mina ,Earth-616),Neutral Characters,Pink Eyes,White Hair,Heterosexual Characters,Living Characters,8,43626,2010,1,0,0,0,1,0,0
258474,Hulk ,Arcade Robot) ,Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,29068,1979,1,0,0,0,1,0,0
122165,Ralph Roberts ,Skrull) ,Bad Characters,Green Eyes,No Hair,Heterosexual Characters,Living Characters,3,43504,2008,1,0,0,1,0,0,0
682481,Leah ,Construct) ,Bad Characters,Green Eyes,Bald,Heterosexual Characters,Living Characters,5,32264,1988,1,0,0,0,1,0,0
596382,Joey Cascio ,Earth-616),Good Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,1,43527,2003,0,1,0,1,0,0,0
160848,Bill Dawson ,Earth-616),Good Characters,Blue Eyes,Red Hair,Heterosexual Characters,Living Characters,5,43716,2008,0,0,1,1,0,0,0
14482,Karolina Dean ,Earth-616),Good Characters,Blue Eyes,Blond Hair,Homosexual Characters,Living Characters,86,43649,2003,1,0,0,0,1,0,0
434292,Eos ,Deity) ,Good Characters,Gold Eyes,Blond Hair,Heterosexual Characters,Living Characters,1,43506,2010,1,0,0,0,1,0,0
2258,Eileen Harsaw ,Earth-616),Bad Characters,Blue Eyes,Blond Hair,Heterosexual Characters,Living Characters,14,33604,1992,1,0,0,0,1,0,0
2519,Tarm ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,11,30590,1983,0,1,0,1,0,0,0
72765,James Murch ,Earth-616),Good Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,13,43470,2005,0,1,0,1,0,0,0
624167,Bruno ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,43770,2001,0,1,0,1,0,0,0
16505,Integer ,Earth-616),Bad Characters,Brown Eyes,No Hair,Heterosexual Characters,Living Characters,2,36251,1999,1,0,0,1,0,0,0
103681,Amanda Smith ,Earth-616),Good Characters,Yellow Eyes,Brown Hair,Heterosexual Characters,Living Characters,2,35612,1997,1,0,0,0,1,0,0
63747,Kane Tucker ,Earth-616),Bad Characters,Green Eyes,Grey Hair,Heterosexual Characters,Living Characters,,43771,2002,1,0,0,1,0,0,0
564103,Rana Mousabi ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,43561,2006,1,0,0,0,1,0,0
437931,Margie White ,Earth-616),Bad Characters,Violet Eyes,Brown Hair,Heterosexual Characters,Living Characters,4,32264,1988,0,1,0,0,1,0,0
699009,Phlopp ,Earth-616),Bad Characters,Brown Eyes,Bald,Heterosexual Characters,Living Characters,1,33909,1992,0,1,0,1,0,0,0
453610,Kruun ,Earth-616),Bad Characters,Red Eyes,Bald,Heterosexual Characters,Living Characters,11,43503,2007,1,0,0,1,0,0,0
438180,Marcy Stryker ,Earth-616),Neutral Characters,Black Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,30317,1983,0,1,0,0,1,0,0
641125,Veronica von Frankenstein ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,6,27515,1975,0,1,0,0,1,0,0
489781,Peter Blankemann ,Earth-616),,Black Eyes,Black Hair,Heterosexual Characters,Living Characters,1,15919,1943,1,0,0,1,0,0,0
332732,Aunt Hazel ,Earth-616),Good Characters,Black Eyes,Grey Hair,Heterosexual Characters,Living Characters,1,43467,2002,0,0,1,0,1,0,0
16402,Dervish ,Spikes) ,Bad Characters,Yellow Eyes,Blond Hair,Heterosexual Characters,Living Characters,4,43468,2003,1,0,0,0,1,0,0
30353,Rubach ,Earth-616),Bad Characters,Yellow Eyes,Black Hair,Heterosexual Characters,Living Characters,4,34304,1993,0,1,0,1,0,0,0
492707,William Cox ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,1,16041,1943,0,0,1,1,0,0,0
667057,Alana Sloan ,Earth-616),Good Characters,Blue Eyes,Blond Hair,Heterosexual Characters,Living Characters,2,35643,1997,0,0,1,0,1,0,0
23589,Offset ,Earth-616),Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,11,43502,2006,1,0,0,0,1,0,0
2590,Julia Carpenter ,Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Heterosexual Characters,Living Characters,212,30956,1984,1,0,0,0,1,0,0
478077,Roc of Lemuria ,Earth-616),Bad Characters,Black Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,30651,1983,0,1,0,1,0,0,0
491297,Dephine ,Earth-616),Good Characters,Blue Eyes,Green Hair,Heterosexual Characters,Living Characters,2,29738,1981,1,0,0,0,1,0,0
653789,Heyatt ,Earth-616),Good Characters,White Eyes,Black Hair,Heterosexual Characters,Deceased Characters,1,30864,1984,0,0,1,1,0,0,0
1220,Ulysses Bloodstone ,Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Heterosexual Characters,Deceased Characters,47,21947,1960,1,0,0,1,0,0,0
14412,Void ,Dark Sentry) ,Bad Characters,Orange Eyes,Black Hair,Heterosexual Characters,Deceased Characters,44,36770,2000,1,0,0,1,0,0,0
339704,Warhead ,Earth-616),Bad Characters,Green Eyes,Green Hair,Heterosexual Characters,Deceased Characters,6,43687,2010,1,0,0,1,0,0,0
4674,M'Nai ,Earth-616),Neutral Characters,Brown Eyes,Black Hair,Heterosexual Characters,,,27061,1974,1,0,0,1,0,0,0
742705,Frederick Pemberton ,Earth-616),Bad Characters,Brown Eyes,Red Hair,Heterosexual Characters,Living Characters,1,32264,1988,1,0,0,1,0,0,0
554003,Mink ,Earth-616),Bad Characters,Violet Eyes,Brown Hair,Heterosexual Characters,,1,43590,2005,0,1,0,1,0,0,0
507301,Tess Black ,Earth-616),Neutral Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,3,43528,2004,1,0,0,0,1,0,0
2632,Surtur ,Earth-616),Bad Characters,Yellow Eyes,Red Hair,Heterosexual Characters,Deceased Characters,79,23285,1963,0,0,1,1,0,0,0
21524,Nezhno Abidemi ,Earth-616),Good Characters,Blue Eyes,Bald,Heterosexual Characters,Living Characters,59,43561,2006,1,0,0,1,0,0,0
422892,Glorianna O'Breen ,Earth-616),Good Characters,Blue Eyes,Red Hair,Heterosexual Characters,Deceased Characters,,30773,1984,0,1,0,0,1,0,0
689268,Vane ,Earth-616),Good Characters,Blue Eyes,Bald,Heterosexual Characters,Living Characters,1,43470,2005,1,0,0,1,0,0,0
505987,Blabek ,Earth-616),Good Characters,Blue Eyes,White Hair,Heterosexual Characters,Living Characters,,32264,1988,0,0,1,1,0,0,0
570472,Darlene Wright ,Earth-616),Neutral Characters,Green Eyes,Red Hair,Heterosexual Characters,Living Characters,4,43811,2012,1,0,0,0,1,0,0
498462,Oshemar ,Earth-616),Neutral Characters,Blue Eyes,No Hair,Heterosexual Characters,Deceased Characters,1,43477,2012,1,0,0,1,0,0,0
7974,Edward March ,Earth-616),Good Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,20,25569,1970,0,1,0,1,0,0,0
346086,Rebecca Schuyler ,Earth-616),Neutral Characters,Black Eyes,Brown Hair,Heterosexual Characters,Living Characters,2,35643,1997,0,1,0,0,1,0,0
90748,Bev Sykes ,Earth-616),Good Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,15,43684,2007,0,0,1,0,1,0,0
705844,Drake Previn ,Earth-616),Neutral Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,3,30348,1983,1,0,0,1,0,0,0
704726,Bambi ,Peter Parker's neighbor) ,Bad Characters,Violet Eyes,Brown Hair,Heterosexual Characters,Living Characters,,31079,1985,0,0,1,0,1,0,0
244628,Thorn Trask ,Earth-616),Bad Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,23224,1963,1,0,0,1,0,0,0
2067,Giuletta Nefaria ,Earth-616),Bad Characters,Grey Eyes,Black Hair,Heterosexual Characters,Living Characters,149,24838,1968,1,0,0,0,1,0,0
543358,Sean McKeever ,Earth-616),Good Characters,Yellow Eyes,Blond Hair,Heterosexual Characters,Living Characters,20,34943,1995,0,1,0,1,0,0,0
310489,Bud Cable ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,2,32509,1989,1,0,0,1,0,0,0
594989,Penny Pennington ,Earth-616),Good Characters,Yellow Eyeballs,Black Hair,Heterosexual Characters,Living Characters,37,19299,1952,0,1,0,1,0,0,0
238419,Silas Grant ,Earth-616),Good Characters,Brown Eyes,Grey Hair,Heterosexual Characters,Living Characters,21,26359,1972,0,0,1,1,0,0,0
346786,Khufor ,Earth-616),Bad Characters,Blue Eyes,No Hair,Heterosexual Characters,Living Characters,4,14855,1940,0,1,0,1,0,0,0
183677,Anthony Sardo ,Earth-616),Bad Characters,Brown Eyes,Purple Hair,Heterosexual Characters,Deceased Characters,5,14519,1939,0,0,1,1,0,0,0
449383,Satan ,Black Widow Creator) ,Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,5,14824,1940,1,0,0,1,0,0,0
680863,Bald Twins ,Earth-616),Bad Characters,Brown Eyes,Bald,Heterosexual Characters,Living Characters,1,34182,1993,1,0,0,1,0,0,0
34980,Spencer Bronson ,Earth-616),Bad Characters,Multiple Eyes,Blond Hair,Heterosexual Characters,Living Characters,2,43559,2004,1,0,0,1,0,0,0
558244,Primus ,Kree) ,Bad Characters,Green Eyes,Red Hair,Heterosexual Characters,Living Characters,1,35431,1997,0,1,0,1,0,0,0
415512,Lodur ,Asgardian) ,Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,2,28004,1976,1,0,0,1,0,0,0
244809,Muramasa ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,6,32448,1988,0,1,0,1,0,0,0
17281,M'Gula ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,,32264,1988,1,0,0,1,0,0,0
122158,Matthew Murdock ,Skrull) ,Bad Characters,Green Eyes,No Hair,Heterosexual Characters,Deceased Characters,1,43593,2008,1,0,0,1,0,0,0
16482,Highlander ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,1,32264,1988,0,1,0,1,0,0,0
12974,Nahita ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,3,32874,1990,0,1,0,0,1,0,0
18650,Leonard Hebb ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,17,30133,1982,0,1,0,1,0,0,0
247479,Gina Morris ,Earth-616),Bad Characters,Green Eyes,Black Hair,Heterosexual Characters,Living Characters,1,35278,1996,1,0,0,0,1,0,0
431890,Whiteface ,Earth-616),Good Characters,Brown Eyes,Purple Hair,Heterosexual Characters,Living Characters,6,31168,1985,0,1,0,1,0,0,0
552883,Big Monk McGak ,Earth-616),Bad Characters,Brown Eyes,Blond Hair,Heterosexual Characters,Living Characters,3,22402,1961,0,1,0,1,0,0,0
79426,Hamilton Slade ,Vampire) ,Bad Characters,Red Eyes,Red Hair,Heterosexual Characters,Deceased Characters,4,43561,2006,1,0,0,1,0,0,0
245407,David Munroe ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,12,28095,1976,1,0,0,1,0,0,0
440520,Cut ,Wendy) ,Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,5,43473,2008,1,0,0,0,1,0,0
16955,Alistaire Stuart ,Earth-616),Bad Characters,Variable Eyes,Variable Hair,Heterosexual Characters,Living Characters,72,32568,1989,0,0,1,1,0,0,0
415513,Hoenir ,Asgardian) ,Good Characters,Brown Eyes,Bald,Heterosexual Characters,Living Characters,1,28004,1976,1,0,0,1,0,0,0
1455,Kinji Obatu ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,16,25477,1969,1,0,0,1,0,0,0
280680,Jessie Drake ,Earth-616),Good Characters,Brown Eyes,Blond Hair,Transgender Characters,Living Characters,2,34394,1994,1,0,0,0,1,0,0
59598,Joshua Cooper ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,24,29099,1979,0,1,0,1,0,0,0
552549,Jenny ,Donkey) ,Good Characters,Brown Eyes,Grey Hair,Heterosexual Characters,Living Characters,7,17958,1949,0,1,0,0,1,0,0
727039,Roc ,Assassin) ,Bad Characters,Black Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,5,33878,1992,1,0,0,1,0,0,0
437129,Blackie Ross ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,1,14580,1939,0,0,1,1,0,0,0
706153,Daichi Sakamoto ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Deceased Characters,2,33756,1992,1,0,0,0,1,0,0
18831,Janet Galloway ,Earth-616),Bad Characters,Brown Eyes,Blond Hair,Heterosexual Characters,Living Characters,3,34578,1994,1,0,0,0,1,0,0
500960,Hati ,Earth-616),Bad Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,2,23408,1964,1,0,0,1,0,0,0
37424,Daniel Fielstein ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,24,33178,1990,0,1,0,1,0,0,0
49568,Megara ,Earth-616),Good Characters,Blue Eyes,Variable Hair,Heterosexual Characters,Deceased Characters,4,43713,2005,1,0,0,0,1,0,0
43715,Horst Kleinmann ,Earth-148611),Bad Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,2,31717,1986,1,0,0,1,0,0,0
424988,Infinity T.A.P. ,Earth-616),Bad Characters,White Eyes,Blond Hair,Heterosexual Characters,,1,43562,2007,1,0,0,1,0,0,0
660188,Felipe Morales ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,2,43750,2012,1,0,0,1,0,0,0
34678,Alex DePaul ,Earth-616),Bad Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,6,34366,1994,0,0,1,1,0,0,0
456588,Lamar Plotnick ,Earth-616),Bad Characters,Yellow Eyeballs,Red Hair,Heterosexual Characters,Living Characters,3,32356,1988,1,0,0,1,0,0,0
592342,Kyte ,Earth-616),Bad Characters,Purple Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,43595,2010,1,0,0,0,1,0,0
637734,James Buchanan ,Earth-616),Neutral Characters,Violet Eyes,Purple Hair,Heterosexual Characters,Deceased Characters,4,43478,2013,0,1,0,1,0,0,0
52615,Victor Frankenstein ,Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,19,25416,1969,0,1,0,1,0,0,0
70931,Zak-Del ,Earth-616),Good Characters,Red Eyes,White Hair,Heterosexual Characters,Living Characters,12,43684,2007,1,0,0,1,0,0,0
295866,Cr'reee ,War Skrull) ,Bad Characters,Violet Eyes,Brown Hair,Heterosexual Characters,Deceased Characters,,33329,1991,0,1,0,1,0,0,0
18436,Jamal Afari ,Earth-616),Good Characters,Brown Eyes,Black Hair,Heterosexual Characters,Living Characters,5,27638,1975,0,1,0,1,0,0,0
10207,Doreen Green ,Earth-616),Good Characters,Brown Eyes,Brown Hair,Heterosexual Characters,Living Characters,42,33573,1991,0,1,0,0,1,0,0
260721,Mogol ,Earth-616),Neutral Characters,White Eyes,Bald,Heterosexual Characters,Deceased Characters,2,25689,1970,0,0,1,1,0,0,0
1838,Stephanie Hunter ,Earth-616),Good Characters,Black Eyes,Black Hair,Heterosexual Characters,Living Characters,46,29526,1980,0,1,0,0,1,0,0
17002,Straight Arrow ,Alfie) ,Good Characters,Blue Eyes,Blond Hair,Heterosexual Characters,Living Characters,3,31382,1985,0,0,1,1,0,0,0
18670,Jan van Slambrouck ,Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,32325,1988,0,0,1,0,1,0,0
43312,Floyd Mangles ,Earth-616),Bad Characters,Green Eyes,No Hair,Heterosexual Characters,Living Characters,9,27760,1976,0,0,1,1,0,0,0
27133,Ygmlosvorraich ,Earth-616),Bad Characters,Yellow Eyes,Brown Hair,Heterosexual Characters,Living Characters,1,33939,1992,1,0,0,1,0,0,0
2633,Fritz von Meyer ,Earth-616),Bad Characters,Yellow Eyes,No Hair,Heterosexual Characters,Living Characters,25,28307,1977,1,0,0,1,0,0,0
1346,Piotr Rasputin ,Earth-616),Good Characters,Blue Eyes,Black Hair,Heterosexual Characters,Living Characters,1162,27515,1975,1,0,0,1,0,0,0
492360,Nicholas Bordia ,Earth-616),Bad Characters,Brown Eyes,Grey Hair,Heterosexual Characters,Living Characters,2,27030,1974,0,1,0,1,0,0,0
441052,False Wrecker ,Earth-616),Bad Characters,Brown Eyes,No Hair,Heterosexual Characters,Living Characters,1,31778,1987,1,0,0,1,0,0,0
